Year_Birth,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Income_imp,Education_Basic,Education_Graduation,Education_Master,Education_PhD,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_Widow,Age,Child,MntTotal,Recency_u50,TotalPurchses,Enr_year,Enr_quarter,Enr_month,Log_Income,Interaction_1,Interaction_2,Interaction_3,Interaction_4,Interaction_5,Interaction_6,Tree_1,Tree_2,Tree_3,Response
1974,53367.0,1,1,2,229,7,140,10,3,11,7,5,1,8,7,0,0,0,0,1,0,1,0,0,0,49,1,400,1,14,2013,3,8,10.88494785639338,4400,400,800,11,22,2,0,1,0,1
1986,34728.0,1,0,2,14,0,16,0,0,6,1,1,1,2,6,0,0,0,1,0,0,0,1,0,0,37,1,36,1,4,2013,3,7,10.45530155697943,216,36,72,6,12,2,0,1,0,1
1956,63915.0,0,2,2,622,7,115,30,0,15,2,6,3,12,5,0,0,0,0,1,0,0,1,0,0,67,1,789,1,21,2013,3,7,11.065309354602123,11835,2367,1578,45,30,6,0,1,0,0
1960,82504.0,0,0,2,362,50,431,134,35,54,1,3,6,7,1,0,0,0,0,1,0,0,1,0,0,63,0,1066,1,16,2013,3,7,11.320602055995906,57564,6396,2132,324,108,12,0,1,0,0
1972,38578.0,1,1,2,38,4,22,3,3,3,3,3,0,3,8,0,0,0,0,0,1,0,0,1,0,51,1,73,1,6,2013,2,6,10.560437444784185,219,0,146,0,6,0,0,0,0,1
1972,38578.0,1,1,2,38,4,22,3,3,3,3,3,0,3,8,0,0,0,0,0,1,0,0,1,0,51,1,73,1,6,2013,2,6,10.560437444784185,219,0,146,0,6,0,0,0,0,0
1975,79174.0,0,0,2,1074,37,518,193,92,129,1,5,6,7,2,0,0,0,0,0,1,0,1,0,0,48,0,2043,1,18,2013,4,11,11.279403241077631,263547,12258,4086,774,258,12,1,0,0,1
1962,81975.0,0,1,2,983,76,184,180,138,27,1,6,3,4,7,0,0,0,0,1,0,1,0,0,0,61,1,1588,1,13,2013,2,5,11.314169601712848,42876,4764,3176,81,54,6,0,0,0,0
1977,43263.0,0,1,2,262,6,61,0,10,102,3,5,2,6,5,0,0,0,0,1,0,0,1,0,0,46,1,441,1,13,2012,4,11,10.67505304523018,44982,882,882,204,204,4,0,1,0,0
1970,27242.0,1,0,2,3,17,26,20,1,39,2,2,0,3,9,0,0,0,1,0,0,0,0,1,0,53,1,106,1,5,2012,4,11,10.212515179007287,4134,0,212,0,78,0,0,0,0,1
1971,76445.0,1,0,2,739,107,309,140,80,35,1,2,5,13,6,0,0,0,1,0,0,0,1,0,0,52,1,1410,1,20,2012,3,9,11.244326806994714,49350,7050,2820,175,70,10,0,0,0,0
1965,75276.0,0,0,2,610,105,125,137,42,21,1,9,4,9,5,0,0,0,1,0,0,0,1,0,0,58,0,1040,1,22,2012,3,9,11.228916637884744,21840,4160,2080,84,42,8,0,1,0,0
1963,34213.0,1,1,2,50,4,28,6,3,26,3,3,1,2,9,0,0,0,1,0,0,0,0,0,1,60,1,117,1,6,2012,3,7,10.440360967783612,3042,117,234,26,52,2,0,0,0,1
1976,72335.0,0,0,2,1285,105,653,28,21,0,1,10,4,8,8,0,0,0,0,0,1,0,1,0,0,47,0,2092,1,22,2012,3,8,11.18906338506369,0,8368,4184,0,0,8,1,0,0,1
1964,79143.0,0,0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,1,0,0,1,0,0,59,0,1693,1,28,2012,4,11,11.27901162172663,54176,15237,3386,288,64,18,1,0,0,0
1947,27469.0,0,0,2,9,1,2,3,2,0,1,0,0,3,6,0,0,0,1,0,0,0,1,0,0,76,0,17,1,3,2012,1,2,10.220813375077594,0,0,34,0,0,0,0,1,0,0
1969,68695.0,0,0,3,458,81,356,106,50,40,1,4,4,7,2,0,0,0,1,0,0,0,1,0,0,54,0,1091,1,15,2014,2,6,11.137431695358048,43640,4364,3273,160,120,12,0,1,0,0
1969,68695.0,0,0,3,458,81,356,106,50,40,1,4,4,7,2,0,0,0,1,0,0,0,1,0,0,54,0,1091,1,15,2014,2,6,11.137431695358048,43640,4364,3273,160,120,12,0,1,0,0
1957,50388.0,0,1,3,292,6,37,0,3,34,4,6,1,6,7,0,0,0,1,0,0,0,0,1,0,66,1,372,1,13,2014,2,5,10.827508330472194,12648,372,1116,34,102,3,0,1,0,1
1970,77622.0,0,2,3,520,7,154,19,0,14,2,6,3,11,3,0,0,0,0,0,1,0,1,0,0,53,1,714,1,20,2014,2,4,11.259606171145958,9996,2142,2142,42,42,9,0,1,0,0
1962,46102.0,2,1,3,14,0,1,0,0,1,1,1,0,2,7,0,0,0,1,0,0,1,0,0,0,61,1,16,1,3,2014,4,10,10.738611611991622,16,0,48,0,3,0,0,1,0,0
1980,31859.0,1,0,3,3,4,7,15,8,11,1,1,0,3,7,0,0,0,0,1,0,0,0,1,0,43,1,48,1,4,2014,1,2,10.369075195651924,528,0,144,0,33,0,0,1,0,0
1987,23830.0,0,0,3,1,8,6,4,8,16,1,1,0,3,7,0,0,0,0,1,0,0,0,1,0,36,0,43,1,4,2014,3,7,10.078700570092789,688,0,129,0,48,0,0,1,0,0
1973,24639.0,1,1,3,20,3,16,0,4,1,3,2,0,4,6,0,0,0,1,0,0,0,1,0,0,50,1,44,1,6,2014,1,1,10.112085832408303,44,0,132,0,3,0,0,1,0,0
1945,71604.0,0,0,3,345,53,528,98,75,97,1,8,3,5,4,0,0,0,0,0,1,0,1,0,0,78,0,1196,1,16,2013,4,11,11.178906217310082,116012,3588,3588,291,291,9,1,0,0,1
1984,27255.0,1,0,3,22,1,11,0,1,2,1,1,0,3,7,0,0,0,1,0,0,0,1,0,0,39,1,37,1,4,2013,3,7,10.21299226949838,74,0,111,0,6,0,0,1,0,0
1977,55375.0,0,1,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,1,0,0,0,1,0,0,46,1,162,1,8,2013,4,10,10.921883507347436,2268,162,486,14,42,3,0,1,0,0
1960,77037.0,0,1,3,463,96,333,168,53,10,1,7,7,12,3,0,0,0,0,0,1,0,1,0,0,63,1,1123,1,26,2013,4,10,11.252041104903824,11230,7861,3369,70,30,21,0,1,0,0
1970,24163.0,1,1,3,4,1,7,2,1,2,2,1,0,3,4,0,0,0,1,0,0,0,0,1,0,53,1,17,1,4,2013,4,12,10.092577816525454,34,0,51,0,6,0,0,1,0,0
1969,69476.0,0,0,3,260,86,559,63,9,67,1,4,6,4,2,0,0,0,0,0,1,0,1,0,0,54,0,1044,1,14,2013,3,9,11.148736648173903,69948,6264,3132,402,201,18,0,1,0,0
1979,72063.0,0,1,3,180,32,348,76,32,90,2,5,2,12,2,0,0,0,1,0,0,0,1,0,0,44,1,758,1,19,2013,1,3,11.185296015408854,68220,1516,2274,180,270,6,0,1,0,0
1962,58646.0,0,1,3,62,1,44,6,5,22,1,2,1,4,4,0,0,0,0,1,0,0,1,0,0,61,1,140,1,7,2013,4,10,10.979274650562294,3080,140,420,22,66,3,0,1,0,0
1962,58646.0,0,1,3,62,1,44,6,5,22,1,2,1,4,4,0,0,0,0,1,0,0,1,0,0,61,1,140,1,7,2013,4,10,10.979274650562294,3080,140,420,22,66,3,0,1,0,0
1949,47570.0,1,1,3,67,1,20,0,2,31,3,2,2,2,7,0,0,0,0,1,0,0,0,0,1,74,1,121,1,6,2013,2,5,10.769957589426328,3751,242,363,62,93,6,0,1,0,1
1980,80011.0,0,1,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,1,0,0,0,1,0,0,43,1,1395,1,19,2013,2,4,11.28991940420376,142290,8370,4185,612,306,18,1,0,0,0
1956,54998.0,0,1,3,154,22,202,39,30,8,5,4,2,9,4,0,0,0,0,0,1,0,0,1,0,67,1,455,1,15,2013,4,10,10.915052099917071,3640,910,1365,16,24,6,0,1,0,1
1948,60200.0,0,1,3,502,19,132,0,6,26,6,6,2,11,6,0,0,0,0,0,1,0,0,1,0,75,1,685,1,19,2013,1,2,11.005427631296913,17810,1370,2055,52,78,6,0,1,0,0
1982,63211.0,0,0,3,145,193,459,205,26,145,2,3,8,7,2,0,0,0,1,0,0,0,1,0,0,41,0,1173,1,18,2012,1,2,11.054233615622806,170085,9384,3519,1160,435,24,0,1,0,1
1973,48432.0,0,1,3,322,3,50,4,3,42,5,7,1,6,8,0,0,0,0,0,1,0,0,1,0,50,1,424,1,14,2012,4,10,10.7879160312615,17808,424,1272,42,126,3,0,0,0,1
1973,48432.0,0,1,3,322,3,50,4,3,42,5,7,1,6,8,0,0,0,0,0,1,0,0,1,0,50,1,424,1,14,2012,4,10,10.7879160312615,17808,424,1272,42,126,3,0,0,0,0
1973,48432.0,0,1,3,322,3,50,4,3,42,5,7,1,6,8,0,0,0,0,0,1,0,0,1,0,50,1,424,1,14,2012,4,10,10.7879160312615,17808,424,1272,42,126,3,0,0,0,1
1949,62845.0,1,1,3,1099,0,45,0,0,34,11,3,4,10,8,0,0,0,0,1,0,0,1,0,0,74,1,1178,1,17,2012,1,1,11.048426656358938,40052,4712,3534,136,102,12,0,0,0,0
1949,62845.0,1,1,3,1099,0,45,0,0,34,11,3,4,10,8,0,0,0,0,1,0,0,1,0,0,74,1,1178,1,17,2012,1,1,11.048426656358938,40052,4712,3534,136,102,12,0,0,0,1
1965,65220.0,0,0,3,890,63,292,0,25,12,4,8,4,7,6,0,0,0,0,0,1,0,1,0,0,58,0,1282,1,19,2012,1,3,11.085521449343311,15384,5128,3846,48,36,12,1,0,0,1
1990,74214.0,0,0,3,863,83,547,86,99,33,1,8,2,5,5,0,0,0,0,0,1,0,1,0,0,33,0,1711,1,15,2012,3,8,11.214708090603065,56463,3422,5133,66,99,6,1,0,0,0
1980,96547.0,0,0,4,448,21,125,52,101,62,0,7,6,8,2,0,0,0,0,1,0,0,1,0,0,43,0,809,1,21,2014,2,5,11.477785215390488,50158,4854,3236,372,248,24,0,1,0,1
1955,53863.0,0,1,4,399,4,30,6,4,30,3,7,1,7,7,0,0,0,1,0,0,0,1,0,0,68,1,473,1,15,2014,2,5,10.894199064777272,14190,473,1892,30,120,4,0,1,0,0
1970,50447.0,2,0,4,85,7,24,2,3,27,1,3,1,3,6,0,0,0,1,0,0,0,1,0,0,53,1,148,1,7,2014,2,4,10.828678559197003,3996,148,592,27,108,4,0,1,0,0
1953,37716.0,0,1,4,97,1,41,6,2,41,2,4,1,3,7,0,0,0,1,0,0,0,1,0,0,70,1,188,1,8,2014,2,4,10.537839686585567,7708,188,752,41,164,4,0,1,0,0
1982,45203.0,2,0,4,35,3,67,10,8,24,1,3,1,3,6,0,0,0,1,0,0,0,1,0,0,41,1,147,1,7,2014,1,3,10.718918735299235,3528,147,588,24,96,4,0,1,0,1
1975,37368.0,1,0,4,3,2,11,2,2,10,1,1,0,2,6,0,0,0,0,1,0,0,1,0,0,48,1,30,1,3,2013,4,12,10.528570002181944,300,0,120,0,40,0,0,1,0,0
1955,67225.0,0,1,4,315,35,322,46,7,143,3,7,2,11,5,0,0,0,1,0,0,0,1,0,0,68,1,868,1,20,2013,4,11,11.115800481137065,124124,1736,3472,286,572,8,0,1,0,0
1976,65104.0,0,1,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,1,0,0,1,0,0,47,1,1053,1,15,2013,4,11,11.083741270241472,52650,5265,4212,250,200,20,0,1,0,1
1976,65104.0,0,1,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,1,0,0,1,0,0,47,1,1053,1,15,2013,4,11,11.083741270241472,52650,5265,4212,250,200,20,0,1,0,0
1949,81698.0,0,0,4,179,28,520,111,123,47,1,3,8,13,1,0,0,0,0,1,0,0,1,0,0,74,0,1008,1,24,2013,2,6,11.310784800744297,47376,8064,4032,376,188,32,0,1,0,1
1968,70566.0,0,1,4,381,28,215,84,28,21,2,6,5,9,3,0,0,0,1,0,0,0,0,1,0,55,1,757,1,20,2013,2,6,11.164303721079092,15897,3785,3028,105,84,20,0,1,0,0
1958,69096.0,0,1,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,1,0,0,0,1,0,0,65,1,653,1,17,2013,3,9,11.143252120960122,71177,1306,2612,218,436,8,0,1,0,0
1962,71434.0,0,1,4,711,36,217,172,96,168,3,7,4,7,4,0,0,0,1,0,0,0,1,0,0,61,1,1400,1,18,2013,3,9,11.176529225461161,235200,5600,5600,672,672,16,1,0,0,0
1978,33039.0,1,0,4,30,8,12,8,8,12,1,2,0,4,5,0,0,0,1,0,0,0,1,0,0,45,1,78,1,6,2013,3,9,10.405443960833054,936,0,312,0,48,0,0,1,0,0
1978,33039.0,1,0,4,30,8,12,8,8,12,1,2,0,4,5,0,0,0,1,0,0,0,1,0,0,45,1,78,1,6,2013,3,9,10.405443960833054,936,0,312,0,48,0,0,1,0,0
1958,46610.0,0,0,4,288,10,30,4,10,125,1,6,1,6,6,0,0,0,1,0,0,0,1,0,0,65,0,467,1,13,2013,3,7,10.749570389366786,58375,467,1868,125,500,4,0,1,0,0
1958,49967.0,0,1,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,1,0,0,0,0,1,0,65,1,306,1,12,2013,3,8,10.819118066514404,918,306,1224,3,12,4,0,1,0,0
1976,53359.0,1,1,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,1,0,0,0,1,0,0,47,1,257,1,10,2013,2,5,10.884797939784212,10537,257,1028,41,164,4,0,1,0,0
1971,49505.0,1,1,4,604,0,100,19,0,28,9,10,2,8,8,0,0,0,0,1,0,0,1,0,0,52,1,751,1,20,2013,2,5,10.809828953556615,21028,1502,3004,56,112,8,0,0,0,0
1946,68657.0,0,0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,1,0,0,1,0,0,77,0,1196,1,17,2013,1,2,11.13687837249461,26312,5980,4784,110,88,20,0,0,0,0
